EPM_ID,LOCATION,TRAN_DATE,UNITS,TOTAL_RETAIL,CUSTOMER_ORDER_NO
2035919466,643,2020-05-12,1,89.97,88828015
2049305663,357,2020-05-11,1,56.25,88831027
2049415100,275,2020-05-08,1,93.75,88831027
2031699123,649,2020-05-11,1,54.97,88831035
2044188899,643,2020-05-11,1,41.99,88831440
2044265569,332,2020-05-06,1,39.19,88831440
2044713649,541,2020-05-12,1,59.97,88833433
2046253393,560,2020-05-11,1,89.97,88833933
2051387760,472,2020-05-05,1,99.97,88833933
2046115579,354,2020-05-09,1,39.98,88834903
2047313612,379,2020-05-06,1,39.98,88834903
2050261605,393,2020-05-11,1,59.97,88835132
2049274464,15,2020-05-11,1,35.23,88835309
2043429360,550,2020-05-12,1,49.97,88836601
2038872385,758,2020-05-11,1,38.49,88836978
2041686570,17,2020-05-11,1,129.97,88838388
2046125417,15,2020-05-12,1,37.48,88838626
2047301844,509,2020-05-11,1,67.97,88839058
2007802982,483,2020-05-05,1,79.97,88839093
1179426695,777,2020-05-11,1,52.48,88840911
2033957667,435,2020-05-06,1,79.97,88840911
2025685431,533,2020-05-08,1,69.97,88841600
2025685436,555,2020-05-12,1,69.97,88841600
2048154612,509,2020-05-11,1,37.48,88841710
2050900182,338,2020-05-05,1,54.97,88841710
2048901029,747,2020-05-11,1,108.73,88843398
2014609737,280,2020-05-06,1,59.97,88843639
2014609737,280,2020-05-11,1,59.97,88843639
2051964770,797,2020-05-12,1,57.97,88846765
2042686038,674,2020-05-12,1,34.99,88847310
2051511023,166,2020-05-06,1,36.97,88847886
2050680057,478,2020-05-11,1,39.97,88849219
2046324690,140,2020-05-11,1,74.97,88849509
2050287485,787,2020-05-11,1,59.97,88850089
2050890880,643,2020-05-12,1,39.97,88850297
2047556124,279,2020-05-12,1,55.97,88852246
2050369338,555,2020-05-08,1,79.97,88852256
2047539971,754,2020-05-05,1,50.74,88852429
2048256201,675,2020-05-12,1,189.97,88854212
2043320099,15,2020-05-12,1,44.97,88855639
2050657342,242,2020-05-12,1,99.97,88858981
2045109618,547,2020-05-10,1,79.97,88861805
2052807479,748,2020-05-07,1,49.97,88863643
2044462648,510,2020-05-09,1,52.49,88865063
2044462648,542,2020-05-11,1,52.49,88865063
2044462648,672,2020-05-09,2,104.98,88865063
2045108734,514,2020-05-07,1,34.99,88865512
2045108771,163,2020-05-11,1,34.99,88865512
2051152854,650,2020-05-11,1,49.97,88867145
2031494690,673,2020-05-12,1,40.05,88868166
2046253391,289,2020-05-12,1,89.97,88868960
2047539968,36,2020-05-06,1,108.73,88869550
2047352294,383,2020-05-11,1,34.98,88871670
2048831597,113,2020-05-12,2,79.94,88873388
2049280550,370,2020-05-12,1,59.97,88874212
2051753517,15,2020-05-12,1,89.97,88874267
2049601711,781,2020-05-10,1,99.97,88875219
2049280550,555,2020-05-12,1,59.97,88877680
2044701637,269,2020-05-04,1,56.97,88877857
2045810237,541,2020-05-11,1,39.97,88882201
2022332510,555,2020-05-07,1,79.97,88883106
2044355612,546,2020-05-12,1,39.97,88883175
2042346836,245,2020-05-11,1,89.97,88883760
2050287883,550,2020-05-11,1,69.97,88885324
2046330295,714,2020-05-04,1,39.97,88889686
2049675496,634,2020-05-11,1,114.97,88889828
2025805855,740,2020-05-11,1,38.49,88890205
2044002820,329,2020-05-06,1,44.98,88890255
2044002820,369,2020-05-11,1,44.98,88890255
2046563819,546,2020-05-12,1,42.97,88892360
2036901116,624,2020-05-11,1,52.49,88892509
2046381486,758,2020-05-11,1,41.99,88892509
2048003050,748,2020-05-09,1,35.99,88892959
2048003050,779,2020-05-11,1,35.99,88892959
2049274464,15,2020-05-11,1,35.23,88894035
2048892311,519,2020-05-11,1,69.97,88895073
2049462808,288,2020-05-11,1,49.97,88895284
2048949518,764,2020-05-10,1,34.99,88895465
2046358498,758,2020-05-11,1,79.97,88896363
2040401247,541,2020-05-12,1,39.97,88896595
2047335549,245,2020-05-08,1,39.97,88896595
2052600126,541,2020-05-11,1,39.97,88896651
2047526452,541,2020-05-11,1,54.97,88896660
2047851087,379,2020-05-12,1,84.97,88897050
2041777221,329,2020-05-09,1,39.97,88897876
2044188899,543,2020-05-11,1,41.99,88898992
2042867385,481,2020-05-06,1,61.24,88899847
2048269140,519,2020-05-07,1,34.99,88899847
2040205475,648,2020-05-12,1,79.97,88900357
2044188899,529,2020-05-12,1,41.99,88900590
2046216232,336,2020-05-11,1,64.97,88901411
2037255820,15,2020-05-12,1,44.98,88901912
